Record_ID,Event_Timestamp,Work_Order,Serial_Number,Line,Shift,Station_ID,Test_Category,Measurement_Name,Measurement_Value,Measurement_Unit,Lower_Spec_Limit,Upper_Spec_Limit,Target_Value,Test_Duration_s,Result,Attempt_Number,Error_Code,Operator_ID,Fixture_ID,Recipe_ID,Ambient_Temp_C,Humidity_pct,Source_Record_Text,Notes
REC-0001,2026-07-14 06:02:11,NS-84721,AX10001,Line 2,Day,STN-01,Torque,joint:J1 torque,18.42,Nm,18,19,18.5,,PASS,1,,,,,,,2026-07-14 06:02:11 WO=NS-84721 SN AX10001 joint:J1 torque=18.42Nm angle 44.8deg PASS,
REC-0002,2026-07-14 06:02:11,NS-84721,AX10001,Line 2,Day,STN-01,Torque,joint:J1 angle,44.8,deg,42,48,45,,PASS,1,,,,,,,2026-07-14 06:02:11 WO=NS-84721 SN AX10001 joint:J1 torque=18.42Nm angle 44.8deg PASS,
REC-0003,,NS-84721,AX10001,Line 2,Day,STN-01,Torque,Joint J2 torque,18.36,N-m,18,19,18.5,,PASS,1,,,,,,,06:02:18|AX10001|J2|18.36 N-m|45.1Â°|OK,
REC-0004,,NS-84721,AX10001,Line 2,Day,STN-01,Torque,Joint J2 angle,45.1,Â°,42,48,45,,PASS,1,,,,,,,06:02:18|AX10001|J2|18.36 N-m|45.1Â°|OK,
REC-0005,,NS-84721,AX10002,Line 2,Day,STN-01,Torque,spindle 1 torque actual,18.61,Nm,18,19,18.5,,PASS,1,,,,,,,Part AX10002 / spindle 1 / target 18.5 / actual | 18.61 | Nm |  | angle=43.9; result=PASS,
REC-0006,,NS-84721,AX10002,Line 2,Day,STN-01,Torque,spindle 1 angle,43.9,,42,48,45,,PASS,1,,,,,,,Part AX10002 / spindle 1 / target 18.5 / actual | 18.61 | Nm |  | angle=43.9; result=PASS,
REC-0007,,NS-84721,AX10002,Line 2,Day,STN-01,Torque,Joint J2 torque actual,18.57,Nm,18,19,18.5,,PASS,1,,,,,,,SN: AX10002 |  | J2 actual 18.57Nm / 44.2 degrees / pass,
REC-0008,,NS-84721,AX10002,Line 2,Day,STN-01,Torque,Joint J2 angle,44.2,degrees,42,48,45,,PASS,1,,,,,,,SN: AX10002 |  | J2 actual 18.57Nm / 44.2 degrees / pass,
REC-0009,,NS-84721,AX10003,Line 2,Day,STN-01,Torque,Joint J1 torque,17.91,Nm,18,19,18.5,,FAIL,1,TORQUE_LOW,,,,,,[06:03:04] AX10003 J1 TQ 17.91Nm LOW; retry requested,
REC-0010,,NS-84721,AX10003,Line 2,Day,STN-01,Torque,Joint J1 torque,18.33,Nm,18,19,18.5,,PASS,2,,K17,,,,,retry#1 SN=AX10003 J1 18.33 Nm A=46.0 status:PASS operator K17,
REC-0011,,NS-84721,AX10003,Line 2,Day,STN-01,Torque,Joint J1 angle,46,,42,48,45,,PASS,2,,K17,,,,,retry#1 SN=AX10003 J1 18.33 Nm A=46.0 status:PASS operator K17,
REC-0012,,NS-84721,AX10003,Line 2,Day,STN-01,Torque,Joint J2 torque,18.48,,18,19,18.5,,PASS,1,,,,,,,"AX10003,J2,18.48,44.7,P",
REC-0013,,NS-84721,AX10003,Line 2,Day,STN-01,Torque,Joint J2 angle,44.7,,42,48,45,,PASS,1,,,,,,,"AX10003,J2,18.48,44.7,P",
REC-0014,,NS-84721,AX10004,Line 2,Day,STN-01,Torque,screw2 torque,18.39,Nm,18,19,18.5,,PASS,1,,,,,,,20260714T060421 AX10004 screw2: torque eighteen point four? sensor_raw=18.39Nm; angle 44.9; PASS,
REC-0015,,NS-84721,AX10004,Line 2,Day,STN-01,Torque,screw2 angle,44.9,,42,48,45,,PASS,1,,,,,,,20260714T060421 AX10004 screw2: torque eighteen point four? sensor_raw=18.39Nm; angle 44.9; PASS,
REC-0016,,NS-84721,AX10002,Line 2,Day,STN-03,Press Fit,Fmax,4910,N,,,,,PASS,1,,,,,,,"cycle 221884 :: serial AX10002 :: Fmax=4,910 N :: travel 11.98 mm :: OK",
REC-0017,,NS-84721,AX10002,Line 2,Day,STN-03,Press Fit,travel,11.98,mm,,,,,PASS,1,,,,,,,"cycle 221884 :: serial AX10002 :: Fmax=4,910 N :: travel 11.98 mm :: OK",
